id,name,categoria,colore,color_label,price,original_price,discount_pct,is_new,popularity,collections,description,status,sizes,image_urls
set-bijoux-estate,Set Bijoux Estate,gioielli,blush,Rosa cipria,28.00,,0,1,23,shop-all|gioielli|accessori|novita|estate-2025,"Set di tre bracciali elastici con perline di vetro rosa cipria, conchiglie naturali e dettagli placcati oro. Da portare insieme al mare o separati in città. Il regalo perfetto sotto i 30 euro — arriva in un sacchetto di cotone ricamato MEMI.",attivo,unica:25,
borsa-bucket-sabbia,Borsa Bucket Sabbia,borse,avorio,Avorio naturale,165.00,205.00,20,0,22,shop-all|borse|accessori|saldi,"Secchiello in pelle granata color sabbia con coulisse in cuoio e tracolla removibile. Il modello iconico di MEMI, rifinito a mano: ogni borsa ha una leggera variazione di grana che la rende unica. Sacchetto antipolvere incluso.",attivo,unica:5,
cintura-pelle-sottile,Cintura Pelle Sottile,cinture,espresso,Espresso,32.00,,0,0,21,shop-all|cinture|accessori,"Cintura sottile 2 cm in cuoio toscano conciato al vegetale, fibbia minimal in ottone brunito. Definisce il punto vita su abiti e blazer o chiude i jeans con discrezione. Con l'uso il cuoio scurisce e racconta la sua storia — cinque fori, taglio su misura possibile in negozio.",attivo,unica:18,
orecchini-goccia-rosa,Orecchini Goccia Rosa,gioielli,blush,Rosa cipria,38.00,,0,0,20,shop-all|gioielli|accessori,"Orecchini pendenti con goccia in quarzo rosa naturale e monachella in argento 925. Leggerissimi (4 grammi), si dimenticano di averli addosso; la pietra rosa cipria illumina il viso. Ogni pietra è unica per venature e tono.",attivo,unica:12,
maxi-cardigan-nuvola,Maxi Cardigan Nuvola,blazer,lavanda,Grigio cipria,85.00,100.00,15,0,19,shop-all|blazer|saldi,"Maxi cardigan oversize in maglia soffice di misto alpaca, collo a scialle e tasche profonde. È l'abbraccio delle sere d'estate al mare e il coprispalle perfetto dell'ufficio climatizzato. Ultimi pezzi: quando finisce, torna in autunno.",attivo,s:2|xs:4,
anello-filo-dorato,Anello Filo Dorato,gioielli,espresso,Espresso,35.00,,0,0,18,shop-all|gioielli|accessori,"Anello sottile in filo d'ottone placcato oro 18k con nodo centrale intrecciato a mano. Pensato per essere impilato: due o tre insieme raccontano meglio. Placcatura spessa 2 micron, regolabile di mezza misura.",attivo,unica:20,
pantalone-culotte-zen,Pantalone Culotte Zen,pantaloni,salvia,Verde muschio,88.00,,0,0,17,shop-all|pantaloni,"Pantalone culotte a vita alta in twill di lyocell, gamba ampia che si ferma sopra la caviglia. Pinces frontali, passanti in cintura e chiusura con gancio nascosto: rigoroso davanti, comodissimo sempre. Il verde muschio si abbina a avorio, cipria e denim chiaro.",attivo,38:4|40:9|42:11|44:7|46:3|48:2,
gonna-plisse-nuvola,Gonna Plissé Nuvola,gonne,avorio,Avorio naturale,79.00,,0,0,16,shop-all|gonne|estate-2025,"Gonna midi plissettata in tessuto tecnico leggerissimo che si muove come una nuvola ad ogni passo. Vita elastica comoda, plissé permanente che non si stira mai. L'avorio naturale la rende una base perfetta per ogni palette: provala con il Top Bustier Perla.",attivo,l:6|m:10|s:12|xl:3|xs:8,
mocassino-pelle-soft,Mocassino Pelle Soft,scarpe,espresso,Espresso,135.00,,0,0,15,shop-all|scarpe|accessori,"Mocassino in pelle nappa espresso lavorata a mano, costruzione tubolare morbidissima e mascherina con morsetto tono su tono. La suola in cuoio con inserto gomma ammortizza il passo. Con il tempo la pelle sviluppa una patina che lo rende solo più bello.",attivo,37:3|38:6|39:8|40:5,
borsa-tracolla-luna,Borsa a Tracolla Luna,borse,salvia,Verde salvia,120.00,,0,0,14,shop-all|borse|accessori,"Tracolla a mezzaluna in pelle martellata verde salvia, chiusura magnetica e tracolla regolabile. Compatta fuori, sorprendente dentro: telefono, portafoglio, occhiali e chiavi con spazio d'avanzo. Hardware oro spazzolato, cuciture tono su tono.",attivo,unica:9,
set-coordinato-viola,Set Coordinato Viola,set,lavanda,Lilla morbido,130.00,,0,0,13,shop-all|set,"Set due pezzi in crêpe di viscosa: top con scollo quadrato e pantalone palazzo a vita alta. Il lilla polveroso è pensato per cerimonie diurne e aperitivi al tramonto — insieme o separati, raddoppiano il guardaroba. Chiusura invisibile laterale, cade perfetto senza stirare.",attivo,m:0|s:8|xs:5,
top-bustier-perla,Top Bustier Perla,top,avorio,Avorio madreperla,48.00,,0,1,12,shop-all|top|novita,"Top bustier in cotone stretch con stecche leggere e scollo dritto, chiusura a zip sul retro. L'avorio madreperla ha un finish delicatamente satinato: con la Gonna Plissé Nuvola è un look da sera, sotto il Blazer Mia diventa smart-casual. Coppe foderate, si porta senza pensieri.",attivo,l:0|m:6|s:11|xs:9,
giacca-kimono-fresca,Giacca Kimono Fresca,blazer,menta,Verde menta,72.00,90.00,20,0,11,shop-all|blazer|saldi,"Giacca kimono in viscosa fluida con cintura in vita e maniche ampie a tre quarti. Il verde menta è il tono dell'estate: indossala aperta come copri-spalle o chiusa come mini abito. Senza fodera, leggerissima, entra in valigia senza una piega.",attivo,l:4|m:9|s:7|xl:0,
gonna-wrap-salvia,Gonna Wrap Salvia,gonne,salvia,Verde salvia,70.00,,0,0,10,shop-all|gonne|estate-2025,"Gonna portafoglio midi in lino-viscosa con allacciatura laterale e volant sul fondo. Si regola sul punto vita esatto — nessuna taglia di compromesso — e il verde salvia sta bene a tutte. Con sandali flat è vacanza, con tacco e camicia è ufficio d'estate.",attivo,l:5|m:8|s:10|xl:0,
vestito-midi-fiori,Vestito Midi Fiori,vestiti,antico,Rosa antico,115.00,,0,1,9,shop-all|vestiti|novita,"Abito midi in viscosa stampata con micro-fiori tono su tono, scollo a V e manica corta a palloncino. Arricciatura in vita, gonna svasata con spacco discreto: il vestito che risolve inviti, battesimi e cene d'estate. Stampa esclusiva disegnata a Napoli.",attivo,l:7|m:12|s:9|xs:5,
collana-perla-aurora,Collana Perla Aurora,gioielli,avorio,Avorio madreperla,42.00,,0,1,8,shop-all|gioielli|accessori|novita|estate-2025,"Collana girocollo con perle di fiume irregolari su catena in argento 925 placcato oro 18k. Le perle barocche catturano la luce con riflessi madreperla: da sola è minimal, a strati con altre catene è statement. Anallergica, resistente all'acqua.",attivo,unica:16,
blazer-sartoriale-mia,Blazer Sartoriale Mia,blazer,salvia,Verde salvia,105.00,150.00,30,0,7,shop-all|blazer|saldi,"Blazer sartoriale monopetto in misto viscosa con spalla strutturata e revers classico. Foderato, con due bottoni in corno naturale e tasche a filetto: il capo che trasforma qualsiasi look, dal denim all'abito da sera. Prodotto in Italia da un laboratorio a conduzione familiare.",attivo,l:5|m:8|s:3,
sandalo-listino-estate,Sandalo Listino Estate,scarpe,avorio,Avorio naturale,98.00,,0,1,6,shop-all|scarpe|accessori|novita|estate-2025,"Sandalo flat a listini incrociati in pelle nappa avorio, soletta imbottita in memory foam e suola in gomma antiscivolo. Il listino alla caviglia con fibbia dorata regola la calzata al millimetro. Fatti per camminare tutto il giorno, dal mercato alla cena in terrazza.",attivo,38:7|39:9|40:4|41:0,
camicia-cotone-brisa,Camicia Cotone Brisa,top,blush,Corallo pastello,55.00,,0,1,5,shop-all|top|novita|estate-2025,"Camicia over in popeline di cotone organico certificato GOTS, colletto morbido e bottoni in madreperla. Il corallo pastello illumina l'incarnato; il taglio rilassato la rende perfetta aperta sul costume o annodata in vita. Un classico che non tramonta.",attivo,l:8|m:15|s:12,
borsa-tote-lino,Borsa Tote Lino,borse,espresso,Espresso,145.00,,0,1,4,shop-all|borse|accessori|novita|estate-2025,"Tote grande in tela di lino naturale con manici e fondo in pelle conciata al vegetale color espresso. Interno con tasca zip e portachiavi a moschettone; entra il laptop da 13 pollici, il libro e il costume. La borsa dell'estate che continuerai a usare tutto l'anno.",attivo,unica:14,
top-seta-lucida-aria,Top Seta Lucida Aria,top,lavanda,Lavanda,65.00,,0,1,3,shop-all|top|novita,"Canotta in raso di seta con scollo dritto e spalline sottili regolabili. La superficie lucida cattura la luce ad ogni movimento: da sola in estate, sotto un blazer in ufficio, con jeans la sera. Taglio in sbieco che accarezza la figura senza segnare.",attivo,s:10|xs:6,
sneaker-tela-salvia,Sneaker Tela Salvia,scarpe,salvia,Verde salvia,89.00,105.00,15,0,2,shop-all|scarpe|accessori|saldi,"Sneaker bassa in tela di cotone riciclato verde salvia con suola in gomma naturale e dettagli in camoscio. Interno non foderato che si porta anche senza calze; lacci cerati di ricambio inclusi in avorio. La scarpa di tutti i giorni, alleggerita nei materiali e nella coscienza.",attivo,38:6|39:10|40:8|41:5|42:3,
vestito-lino-cannes,Vestito Lino Cannes,vestiti,blush,Rosa cipria,89.00,,0,1,1,shop-all|vestiti|novita|estate-2025,"Il Vestito Lino Cannes è la definizione di eleganza estiva: 100% lino italiano, silhouette sciolta e femminile, spalline regolabili e tasche laterali nascoste. Il tessuto naturale traspira e si ammorbidisce lavaggio dopo lavaggio, per un capo che vive con te. Perfetto dal mattino al tramonto, con sandali bassi o sneakers.",attivo,l:0|m:10|s:14|xs:6,